SYMBOL,NAME OF COMPANY,SERIES,DATE OF LISTING,ISIN NUMBER,TIMESTAMP,GAINS
KAMDHENU,Kamdhenu Limited,EQ,2006-05-09,INE390H01012,2022-11-10,0.9563728
SKIPPER,Skipper Limited,EQ,2015-05-27,INE439E01022,2022-11-10,0.8312058
SUMIT,Sumit Woods Limited,BE,2019-07-30,INE748Z01013,2022-11-10,0.7761558
PSB,Punjab & Sind Bank,EQ,2010-12-30,INE608A01012,2022-11-10,0.7742782
VERTOZ,Vertoz Advertising Limited,BE,2020-05-14,INE188Y01015,2022-11-10,0.7358334
EXCEL,Excel Realty N Infra Limited,EQ,2009-08-03,INE688J01023,2022-11-10,0.7142858
WILLAMAGOR,Williamson Magor & Company Limited,EQ,1995-02-08,INE210A01017,2022-11-10,0.7024793
AKSHAR,Akshar Spintex Limited,BE,2022-05-23,INE256Z01017,2022-11-10,0.6939282
TIJARIA,Tijaria Polypipes Limited,EQ,2011-10-14,INE440L01017,2022-11-10,0.6741573
TIL,TIL Limited,BZ,1995-09-27,INE806C01018,2022-11-10,0.672217
ARROWGREEN,Arrow Greentech Limited,EQ,2015-05-21,INE570D01018,2022-11-10,0.6407725
SADBHAV,Sadbhav Engineering Limited,EQ,2006-03-01,INE226H01026,2022-11-10,0.5967742
UNITEDPOLY,United Polyfab Gujarat Limited,EQ,2021-12-31,INE368U01011,2022-11-10,0.5743001
SBC,SBC Exports Limited,EQ,2021-11-23,INE04AK01028,2022-11-10,0.5591398
VIPULLTD,Vipul Limited,EQ,2015-04-23,INE946H01037,2022-11-10,0.5466666
UCOBANK,UCO Bank,EQ,2003-10-09,INE691A01018,2022-11-10,0.5031848
ADROITINFO,Adroit Infotech Limited,EQ,1997-08-13,INE737B01033,2022-11-10,0.4893048
CUBEXTUB,Cubex Tubings Limited,EQ,1996-04-24,INE144D01012,2022-11-10,0.4850863
OPTIEMUS,Optiemus Infracom Limited,EQ,2017-08-08,INE350C01017,2022-11-10,0.4653226
INDOTHAI,Indo Thai Securities Limited,BE,2011-11-02,INE337M01013,2022-11-10,0.4568627
SECURCRED,SecUR Credentials Limited,EQ,2022-10-17,INE195Y01010,2022-11-10,0.4400716
SALASAR,Salasar Techno Engineering Limited,EQ,2017-07-25,INE170V01027,2022-11-10,0.4299836
VAISHALI,Vaishali Pharma Limited,EQ,2020-01-15,INE972X01014,2022-11-10,0.4264207
JTEKTINDIA,Jtekt India Limited,EQ,2004-01-12,INE643A01035,2022-11-10,0.4129239
MEDICO,Medico Remedies Limited,BE,2022-05-26,INE630Y01016,2022-11-10,0.4088593
